,CountryName,Sepis 
0,Dominica,25.5
1,Burkina Faso,22.5
2,Mali,22.1
3,Sierra Leone,22.0
4,Senegal,22.0
5,Liberia,22.0
6,Benin,21.7
7,Barbados,21.3
8,Guinea,21.2
9,Eritrea,21.2
10,Mozambique,20.9
11,Guinea-Bissau,20.6
12,Niger,20.5
13,Gambia The,20.4
14,Cote d Ivoire,20.2
15,Mauritania,20.1
16,Bangladesh,19.9
17,Sudan,19.9
18,Tanzania,19.7
19,Togo,19.5
20,Timor Leste,19.0
21,Ghana,18.9
22,Malawi,18.6
23,Haiti,18.6
24,Ethiopia,18.5
25,Nepal,18.4
26,Afghanistan,18.3
27,Zambia,18.2
28,Uganda,18.2
29,Rwanda,18.1
