,CountryName,ISO_Code,Preterm
0,Afghanistan,AFG,14.6
1,Armenia,ARM,23.4
2,Azerbaijan,AZE,24.3
3,Bahrain,BHR,21.9
4,Bangladesh,BGD,19.8
5,Bhutan,BTN,21.9
6,Brunei,BRN,18.1
7,Cambodia,KHM,16.4
8,China,CHN,18.3
9,India,IND,27.5
10,Indonesia,IDN,18.9
11,Iran,IRN,22.4
12,Iraq,IRQ,21.6
13,Israel,ISR,21.5
14,Japan,JPN,8.4
15,Jordan,JOR,28.4
16,Kazakhstan,KAZ,17.3
17,Kuwait,KWT,27.9
18,Kyrgyzstan,KGZ,17.9
19,Lebanon,LBN,27.4
20,Malaysia,MYS,24.0
21,Maldives,MDV,24.4
22,Mongolia,MNG,17.9
23,Myanmar,MMR,19.8
24,Nepal,NPL,20.0
25,Oman,OMN,22.0
26,Pakistan,PAK,23.6
27,Philippines,PHL,16.8
28,Qatar,QAT,26.9
29,Russian Federation,RUS,24.1
30,Saudi Arabia,SAU,25.9
31,Singapore,SGP,16.6
32,Sri Lanka,LKA,21.6
33,Syria,SYR,18.6
34,Tajikistan,TJK,16.0
35,Thailand,THA,24.2
36,Turkey,TUR,26.1
37,Turkmenistan,TKM,17.8
38,United Arab Emirates,ARE,27.8
39,Uzbekistan,UZB,20.1
40,Vietnam,VNM,23.2
41,Yemen,YEM,18.5
