,CountryName,ISO_Code,Congenital
0,Austria,AUT,33.6
1,Belarus,BLR,35.4
2,Belgium,BEL,29.4
3,Bulgaria,BGR,25.0
4,Croatia,HRV,27.3
5,Cyprus,CYP,35.8
6,Czech Republic,CZE,22.6
7,Denmark,DNK,24.7
8,Estonia,EST,28.0
9,Finland,FIN,31.9
10,France,FRA,26.8
11,Germany,DEU,31.2
12,Greece,GRC,43.6
13,Hungary,HUN,24.9
14,Ireland,IRL,43.1
15,Italy,ITA,26.9
16,Latvia,LVA,25.8
17,Lithuania,LTU,31.8
18,Luxembourg,LUX,19.6
19,Malta,MLT,44.4
20,Moldova,MDA,31.5
21,Netherlands,NLD,30.5
22,Poland,POL,37.2
23,Portugal,PRT,31.2
24,Romania,ROU,24.2
25,Serbia,SRB,20.2
26,Slovakia,SVK,32.8
27,Slovenia,SVN,20.5
28,Spain,ESP,28.1
29,Sweden,SWE,28.2
30,Ukraine,UKR,29.2
31,United Kingdom,GBR,26.8
